Transplant Center,City,Region,Address,Lat,Long,Liver Arrival Rate,Registerer Arrival Rate,Total waitlist,Deaths
MNMC - Rochester Methodist Hospital (Mayo Clinic),"Rochester, MN",7,"MNMC - Rochester Methodist Hospital (Mayo Clinic), Rochester, MN, USA",44.01932,-92.45942,113,182.5,282,14
MNSM - Saint Marys Hospital (Mayo Clinic),"Rochester, MN",7,"MNSM - Saint Marys Hospital (Mayo Clinic), Rochester, MN, USA",44.02135,-92.48209,7,11.5,11,0
"MNUM - University of Minnesota Medical Center, Fairview","Minneapolis, MN",7,"MNUM - University of Minnesota Medical Center, Fairview, Minneapolis, MN, USA",44.97128,-93.23061,72,95,158.5,25
MOBH - Barnes-Jewish Hospital,"St. Louis, MO",8,"MOBH - Barnes-Jewish Hospital, St. Louis, MO, USA",38.6349189,-90.26476016,110,137,87,11.5
MOLH - St Luke's Hospital of Kansas City,"Kansas City, MO",8,"MOLH - St Luke's Hospital of Kansas City, Kansas City, MO, USA",39.04664,-94.59012,18,28.5,18,0.5
MOSL - SSM Health Saint Louis University Hospital,"St Louis, MO",8,"MOSL - SSM Health Saint Louis University Hospital, St Louis, MO, USA",38.62303,-90.23933,31.5,58,72,2.5
MSUM - University of Mississippi Medical Center,"Jackson, MS",3,"MSUM - University of Mississippi Medical Center, Jackson, MS, USA",32.32871,-90.17546,38.5,47,13,2
NCCM - Carolinas Medical Center,"Charlotte, NC",11,"NCCM - Carolinas Medical Center, Charlotte, NC, USA",35.09197,-80.87117,78,103,97,9
NCDU - Duke University Hospital,"Durham, NC",11,"NCDU - Duke University Hospital, Durham, NC, USA",36.03724,-78.89964,99,134,64.5,5.5
NCMH - University of North Carolina Hospitals,"Chapel Hill, NC",11,"NCMH - University of North Carolina Hospitals, Chapel Hill, NC, USA",35.90702,-79.04186,38.5,80,68.5,8
NEUN - The Nebraska Medical Center,"Omaha, NE",8,"NEUN - The Nebraska Medical Center, Omaha, NE, USA",41.25667,-95.9772,90,132.5,161.5,20
NJLL - Our Lady of Lourdes Medical Center,"Camden, NJ",2,"NJLL - Our Lady of Lourdes Medical Center, Camden, NJ, USA",39.94525,-75.11913,16,46,47,2
NJUH - University Hospital,"Newark, NJ",2,"NJUH - University Hospital, Newark, NJ, USA",40.74109,-74.191,21.5,51,75,5.5
NYCP - NY Presbyterian Hospital/Columbia Univ. Medical Center,"New York, NY",9,"NYCP - NY Presbyterian Hospital/Columbia Univ. Medical Center, New York, NY, USA",40.84128,-73.94032,81.5,115.5,173.5,6
"NYFL - Strong Memorial Hospital, University of Rochester Medical Center","Rochester, NY",9,"NYFL - Strong Memorial Hospital, University of Rochester Medical Center, Rochester, NY, USA",43.12307,-77.62349,40.5,55,42,11
NYMA - Montefiore Medical Center,"Bronx, NY",9,"NYMA - Montefiore Medical Center, Bronx, NY, USA",40.826,-73.92309,47.5,88.5,84,3
NYMS - Mount Sinai Medical Center,"New York, NY",9,"NYMS - Mount Sinai Medical Center, New York, NY, USA",40.77008,-73.98782,137,313.5,381,60
NYNY - New York-Presbyterian Hospital/Weill Cornell Medical Center,"New York, NY",9,"NYNY - New York-Presbyterian Hospital/Weill Cornell Medical Center, New York, NY, USA",40.87289,-73.91246,43,84,78.5,4
NYUC - New York University Medical Center,"New York, NY",9,"NYUC - New York University Medical Center, New York, NY, USA",40.84128,-73.94032,51,104,267.5,15
NYWC - Westchester Medical Center,"Valhalla, NY",9,"NYWC - Westchester Medical Center, Valhalla, NY, USA",41.08673,-73.80512,27,56,96,7
OHCC - The Cleveland Clinic Foundation,"Cleveland, OH",10,"OHCC - The Cleveland Clinic Foundation, Cleveland, OH, USA",41.50456,-81.62173,159.5,217,173.5,15.5
OHOU - Ohio State University Medical Center,"Columbus, OH",10,"OHOU - Ohio State University Medical Center, Columbus, OH, USA",39.99493,-83.01756,100,140,73.5,5.5
OHUC - University of Cincinnati Medical Center,"Cincinnati, OH",10,"OHUC - University of Cincinnati Medical Center, Cincinnati, OH, USA",39.13737,-84.50347,104,159,155.5,10
OHUH - University Hospitals of Cleveland,"Cleveland, OH",10,"OHUH - University Hospitals of Cleveland, Cleveland, OH, USA",41.50712192,-81.60682044,18.5,53,78.5,6
OKBC - Integris Baptist Medical Center,"Oklahoma City, OK",4,"OKBC - Integris Baptist Medical Center, Oklahoma City, OK, USA",35.52914,-97.57598,47,89.5,148.5,12
OKMD - OU Medical Center,"Oklahoma City, OK",4,"OKMD - OU Medical Center, Oklahoma City, OK, USA",35.65535002,-97.45935994,4.5,4,3.5,1.5
ORUO - Oregon Health and Science University,"Portland, OR",6,"ORUO - Oregon Health and Science University, Portland, OR, USA",45.49892,-122.67128,65.5,101.5,94.5,6
ORVA - VA Portland Health Care System,"Portland, OR",6,"ORVA - VA Portland Health Care System, Portland, OR, USA",45.51179,-122.67563,19,37.5,54.5,0.5
PAAE - Albert Einstein Medical Center,"Philadelphia, PA",2,"PAAE - Albert Einstein Medical Center, Philadelphia, PA, USA",40.03673,-75.14356,71,110.5,45.5,4
PAAG - Allegheny General Hospital,"Pittsburgh, PA",2,"PAAG - Allegheny General Hospital, Pittsburgh, PA, USA",40.45704,-80.00362,35,58.5,59,5
PAGM - Geisinger Medical Center,"Danville, PA",2,"PAGM - Geisinger Medical Center, Danville, PA, USA",40.97124,-76.60108,16.5,26.5,18,3.5
PAHE - Penn State Milton S Hershey Medical Center,"Hershey, PA",2,"PAHE - Penn State Milton S Hershey Medical Center, Hershey, PA, USA",40.26441,-76.67401,21.5,58.5,100.5,4.5
PAHM - Hahnemann University Hospital,"Philadelphia, PA",2,"PAHM - Hahnemann University Hospital, Philadelphia, PA, USA",39.95822,-75.16271,17,42,35,1.5
PAPT - University of Pittsburgh Medical Center,"Pittsburgh, PA",2,"PAPT - University of Pittsburgh Medical Center, Pittsburgh, PA, USA",40.68271,-80.09845,111,138,112,18
PATJ - Thomas Jefferson University Hospital,"Philadelphia, PA",2,"PATJ - Thomas Jefferson University Hospital, Philadelphia, PA, USA",39.94982,-75.15867,77.5,124,97.5,10
PATU - Temple University Hospital,"Philadelphia, PA",2,"PATU - Temple University Hospital, Philadelphia, PA, USA",39.99075,-75.13091,6.5,27.5,27.5,3.5
PAUP - Hospital of the University of Pennsylvania,"Philadelphia, PA",2,"PAUP - Hospital of the University of Pennsylvania, Philadelphia, PA, USA",39.95037,-75.19698,127,199,140,11
PAVA - VA Pittsburgh Healthcare System,"Pittsburgh, PA",2,"PAVA - VA Pittsburgh Healthcare System, Pittsburgh, PA, USA",40.43851,-79.99734,40,60.5,91.5,5.5
PRSJ - Auxilio Mutuo Hospital,"Hato Rey, PR",3,"PRSJ - Auxilio Mutuo Hospital, Hato Rey, PR, USA",18.41003,-66.05134,36.5,49,20,5
SCMU - Medical University of South Carolina,"Charleston, SC",11,"SCMU - Medical University of South Carolina, Charleston, SC, USA",32.78565,-79.94676,87,111.5,48,10.5
SDMK - Avera McKennan Hospital,"Sioux Falls, SD",7,"SDMK - Avera McKennan Hospital, Sioux Falls, SD, USA",43.53374,-96.71485,7.5,32,26,3
TNMH - Methodist University Hospital,"Memphis, TN",11,"TNMH - Methodist University Hospital, Memphis, TN, USA",35.1364,-90.01928,114,132,49,3
TNVU - Vanderbilt University Medical Center and Nashville VA Medical Center,"Nashville, TN",11,"TNVU - Vanderbilt University Medical Center and Nashville VA Medical Center, Nashville, TN, USA",36.14127,-86.80197,134.5,205.5,166,11
TXAS - Baylor Scott and White All Saints Medical Center-Fort Worth,"Fort Worth, TX",4,"TXAS - Baylor Scott and White All Saints Medical Center-Fort Worth, Fort Worth, TX, USA",32.72967,-97.34559,26.5,134,103,7.5
"TXBC - University Hospital, University of Texas Health Science Center","San Antonio, TX",4,"TXBC - University Hospital, University of Texas Health Science Center, San Antonio, TX, USA",29.70302,-95.4033,77.5,151,182,21
"TXHH - Memorial Hermann Hospital, University of Texas at Houston","Houston, TX",4,"TXHH - Memorial Hermann Hospital, University of Texas at Houston, Houston, TX, USA",29.5832,-95.20789,40,50,43.5,3
TXHI - CHI St. Luke's Health Baylor College of Medicine Medical Center,"Houston, TX",4,"TXHI - CHI St. Luke's Health Baylor College of Medicine Medical Center, Houston, TX, USA",29.70871,-95.39996,87,193.5,265.5,20
TXHS - Methodist Specialty and Transplant Hospital,"San Antonio, TX",4,"TXHS - Methodist Specialty and Transplant Hospital, San Antonio, TX, USA",29.51393,-98.5763,50,102,113.5,7
TXJS - University of Texas Medical Branch at Galveston,"Galveston, TX",4,"TXJS - University of Texas Medical Branch at Galveston, Galveston, TX, USA",29.31064,-94.77679,18.5,44,49.5,2.5
TXMC - Methodist Dallas Medical Center,"Dallas, TX",4,"TXMC - Methodist Dallas Medical Center, Dallas, TX, USA",32.76121,-96.82487,65.5,108,100.5,10.5
TXMH - Houston Methodist Hospital,"Houston, TX",4,"TXMH - Houston Methodist Hospital, Houston, TX, USA",29.71004,-95.40038,127.5,250.5,352,21
TXSP - UT Southwestern Medical Center/William P. Clements Jr. University Hospital,"Dallas, TX",4,"TXSP - UT Southwestern Medical Center/William P. Clements Jr. University Hospital, Dallas, TX, USA",32.8193,-96.84846,61,96,103,6.5
TXTX - Baylor University Medical Center,"Dallas, TX",4,"TXTX - Baylor University Medical Center, Dallas, TX, USA",32.7884,-96.78215,121,172,119,8.5
TXVA - Michael E. DeBakey VA Medical Center,"Houston, TX",4,"TXVA - Michael E. DeBakey VA Medical Center, Houston, TX, USA",29.71179,-95.39315,18,49,61.5,8
UTLD - Intermountain Medical Center,"Murray, UT",5,"UTLD - Intermountain Medical Center, Murray, UT, USA",40.65931,-111.8903,46.5,52.5,80,4.5
UTMC - University of Utah Medical Center,"Salt Lake City, UT",5,"UTMC - University of Utah Medical Center, Salt Lake City, UT, USA",40.76811,-111.83477,46,62,70.5,3
VAMC - Medical College of Virginia Hospitals,"Richmond, VA",11,"VAMC - Medical College of Virginia Hospitals, Richmond, VA, USA",37.54068,-77.43367,73,99,78,12
VAUV - University of Virginia Health Sciences Center,"Charlottesville, VA",11,"VAUV - University of Virginia Health Sciences Center, Charlottesville, VA, USA",38.03188,-78.49888,77,131.5,108,9.5
WASM - Swedish Medical Center,"Seattle, WA",6,"WASM - Swedish Medical Center, Seattle, WA, USA",47.66742,-122.37961,33.5,84,70.5,5
WAUW - University of Washington Medical Center,"Seattle, WA",6,"WAUW - University of Washington Medical Center, Seattle, WA, USA",47.64872,-122.30637,82,115,143.5,11.5
WISE - Froedtert Memorial Lutheran Hospital,"Milwaukee, WI",7,"WISE - Froedtert Memorial Lutheran Hospital, Milwaukee, WI, USA",43.042,-87.90687,30,74.5,100,16.5
WISL - Aurora St. Luke's Medical Center,"Milwaukee, WI",7,"WISL - Aurora St. Luke's Medical Center, Milwaukee, WI, USA",42.98975,-87.95074,28,62,65,2.5
WIUW - University of Wisconsin Hospital and Clinics,"Madison, WI",7,"WIUW - University of Wisconsin Hospital and Clinics, Madison, WI, USA",43.07313,-89.38644,116,165,134.5,12
